pid,Gender,Age,Tenue,Company size,Country,Role
1,0,55,4,3,US,COO (Chief Operat[ions/ing] Officer)
2,0,50,3,2,US,CISO (Chief Information Security Officer)
3,0,42,1,1,US,CEO (Chief Executive Officer)
4,0,51,5,2,US,CTO (Chief Technology Officer)
5,0,47,3,1,UK,CTO (Chief Technology Officer)
6,0,43,1,3,US,CTO (Chief Technology Officer)
7,0,50,5,3,US,CDO (Chief Data Officer)
8,1,53,5,3,UK,CISO (Chief Information Security Officer)
9,0,56,6,2,US,CFO (Chief Financial Officer)
10,0,54,7,2,US,CTO (Chief Technology Officer)
11,0,48,3,2,Other,CEO (Chief Executive Officer)
12,0,55,6,3,UK,CTO (Chief Technology Officer)
13,0,44,2,3,US,CFO (Chief Financial Officer)
14,0,56,8,3,US,CTO (Chief Technology Officer)
15,0,55,6,3,US,CTO (Chief Technology Officer)
16,0,58,6,1,US,CEO (Chief Executive Officer)
17,0,53,6,3,UK,COO (Chief Operat[ions/ing] Officer)
18,1,55,6,2,US,CTO (Chief Technology Officer)
19,0,54,6,3,US,CDO (Chief Data Officer)
20,0,55,6,1,US,CTO (Chief Technology Officer)
21,0,50,5,3,US,CTO (Chief Technology Officer)
22,0,49,3,1,US,CTO (Chief Technology Officer)
23,0,55,6,3,US,CFO (Chief Financial Officer)
24,0,51,4,1,US,CFO (Chief Financial Officer)
25,0,55,4,3,US,CISO (Chief Information Security Officer)
26,0,53,6,3,US,CTO (Chief Technology Officer)
27,1,56,4,3,US,COO (Chief Operat[ions/ing] Officer)
28,0,49,3,2,US,CTO (Chief Technology Officer)
29,0,57,8,3,US,CISO (Chief Information Security Officer)
30,0,50,5,2,UK,CDO (Chief Data Officer)
31,0,56,5,2,Other,CTO (Chief Technology Officer)
32,0,57,5,1,US,CTO (Chief Technology Officer)
33,1,49,5,3,UK,COO (Chief Operat[ions/ing] Officer)
34,0,55,6,2,Other,CFO (Chief Financial Officer)
35,0,54,5,3,Other,CISO (Chief Information Security Officer)
36,0,48,5,2,Other,CEO (Chief Executive Officer)
37,0,58,5,3,US,CISO (Chief Information Security Officer)
38,0,52,5,3,US,COO (Chief Operat[ions/ing] Officer)
39,0,55,5,3,US,CISO (Chief Information Security Officer)
40,1,58,6,3,Other,CDO (Chief Data Officer)
41,0,55,7,3,Other,CISO (Chief Information Security Officer)
42,0,59,7,3,US,COO (Chief Operat[ions/ing] Officer)
43,0,56,6,3,US,CISO (Chief Information Security Officer)
44,0,53,5,3,UK,CISO (Chief Information Security Officer)
45,0,56,6,3,Other,CFO (Chief Financial Officer)
46,0,54,7,3,US,CTO (Chief Technology Officer)
47,0,50,5,3,Other,CISO (Chief Information Security Officer)
48,0,56,8,3,UK,COO (Chief Operat[ions/ing] Officer)
49,0,48,5,3,Other,CISO (Chief Information Security Officer)
50,0,56,7,2,US,CFO (Chief Financial Officer)
51,1,56,5,3,Other,CISO (Chief Information Security Officer)
52,0,52,5,3,US,CTO (Chief Technology Officer)
53,0,55,7,3,US,COO (Chief Operat[ions/ing] Officer)
54,0,55,7,2,US,CISO (Chief Information Security Officer)
55,0,56,5,3,US,CEO (Chief Executive Officer)
56,0,56,5,3,US,CTO (Chief Technology Officer)
57,0,49,3,2,US,COO (Chief Operat[ions/ing] Officer)
58,0,56,4,3,US,CISO (Chief Information Security Officer)
59,0,57,6,3,US,COO (Chief Operat[ions/ing] Officer)
60,0,56,6,3,US,CISO (Chief Information Security Officer)
61,0,55,4,3,UK,CFO (Chief Financial Officer)
62,0,54,6,1,US,CFO (Chief Financial Officer)
63,0,55,6,3,US,CTO (Chief Technology Officer)
64,0,50,4,3,US,CFO (Chief Financial Officer)
65,0,55,6,3,US,CTO (Chief Technology Officer)
